trnOpDate,staCode,gateInComingCnt,gateOutGoingCnt
20240102,7150,534,518
20240102,7160,4542,4232
20240102,7170,55,33
20240102,7180,143,141
20240102,7190,3897,4218
20240102,7200,175,173
20240102,7210,1977,1891
20240102,7220,106,122
20240102,7230,1108,1056
20240102,7240,64,69
20240102,7250,68,54
20240102,7260,207,173
20240102,7270,129,105
20240102,7280,30,26
20240102,7290,653,693
20240102,7300,157,161
20240102,7310,673,693
20240102,7320,194,192
20240102,7330,129,155
20240102,7331,9,4
20240102,7332,2142,2161
20240102,7333,5,35
20240102,7334,31,9
20240102,7335,184,200
20240102,7336,278,194
20240102,7350,806,751
20240102,7360,6424,6940
20240102,7361,68,76
20240102,7362,205,206
20240102,7380,812,769
20240102,7390,598,598
20240103,900,7632,7284
20240103,910,1458,1527
20240103,920,2717,2269
20240103,930,6383,6397
20240103,940,2748,2748
20240103,950,2682,2094
20240103,960,10952,11648
20240103,970,14015,14193
20240103,980,14771,15380
20240103,990,18717,18744
20240103,1000,54758,55177
20240103,1010,5049,4753
20240103,1020,21211,21325
20240103,1030,3572,3520
20240103,1040,13391,13760
20240103,1050,1447,1416
20240103,1060,1665,1693
20240103,1070,8537,8687
20240103,1080,24216,25124
20240103,1090,9746,9556
20240103,1100,20286,21126
20240103,1110,6095,5824
20240103,1120,4955,4766
20240103,1130,1679,1661
20240103,1140,356,367
20240103,1150,955,945
20240103,1160,3330,3292
20240103,1170,4888,5084
20240103,1180,5853,5702
20240103,1190,2927,2925
20240103,1191,228,240
20240103,1192,1804,1939
20240103,1193,603,664
20240103,1194,3091,3015
20240103,1201,57,69
20240103,1202,232,135
20240103,1203,367,383
20240103,1204,53,76
20240103,1205,38,36
20240103,1206,11,14
20240103,1207,4,107
20240103,1208,133,124
20240103,1210,15920,16018
20240103,1220,1437,1259
20240103,1230,610,582
20240103,1240,253,267
20240103,1250,7845,8080
20240103,2110,32,31
20240103,2120,86,94
20240103,2130,1371,1236
20240103,2140,32,31
20240103,2150,450,458
20240103,2160,70,65
20240103,2170,632,631
20240103,2180,1441,1390
20240103,2190,241,252
20240103,2200,2186,2133
20240103,2210,97,88
20240103,2220,977,1024
20240103,2230,2046,2033
20240103,2240,366,357
20240103,2250,649,652
20240103,2260,920,183
20240103,3140,332,328
20240103,3150,747,767
20240103,3160,5277,5288
20240103,3170,127,122
20240103,3180,764,744
20240103,3190,605,578
20240103,3210,486,463
20240103,3220,2260,2227
20240103,3230,5951,6220
20240103,3240,952,884
20240103,3250,2005,2007
20240103,3260,629,622
20240103,3270,2431,2364
20240103,3280,1921,1896
20240103,3290,1278,1223
20240103,3300,17959,16555
20240103,3310,1682,1718
20240103,3320,3193,3056
20240103,3330,497,471
20240103,3340,5325,5630
20240103,3350,540,1279
20240103,3360,10369,10237
20240103,3370,927,1024
20240103,3380,666,718
20240103,3390,6304,6304
20240103,3400,493,496
20240103,3410,1060,1053
20240103,3420,2082,2031
20240103,3430,924,931
20240103,3431,10,20
20240103,3432,55,49
20240103,3433,14,17
20240103,3434,143,90
20240103,3435,72,96
20240103,3436,75,103
20240103,3450,611,569
20240103,3460,148,162
20240103,3470,4034,4151
20240103,3480,1437,1420
20240103,3490,111,120
20240103,4050,1425,1515
20240103,4060,1375,1350
20240103,4070,814,845
20240103,4080,7420,7235
20240103,4090,578,614
20240103,4100,127,145
20240103,4110,585,557
20240103,4120,4474,4476
20240103,4130,989,931
20240103,4140,532,525
20240103,4150,1189,1179
20240103,4160,174,161
20240103,4170,3140,3100
20240103,4180,1537,1376
20240103,4190,2099,2080
20240103,4200,2780,2640
20240103,4210,3738,3681
20240103,4220,18979,19597
20240103,4250,1187,1418
20240103,4260,698,703
